Id,Target
1,made
2,made
3,missed
4,made
5,made
6,made
7,made
8,made
9,made
10,made
11,made
12,missed
13,made
14,made
15,missed
16,made
17,made
18,missed
19,made
20,missed
21,made
22,missed
23,missed
24,made
25,made
26,made
27,missed
28,missed
29,made
30,made
31,made
32,made
33,made
34,made
35,missed
36,made
37,missed
38,made
39,made
40,missed
41,missed
42,made
43,missed
44,made
45,made
46,missed
47,made
48,made
49,missed
50,missed
51,made
52,made
53,made
54,made
55,missed
56,missed
57,missed
58,missed
59,missed
60,made
61,made
62,made
63,missed
64,made
65,made
66,missed
67,made
68,missed
69,missed
70,made
71,made
72,missed
73,made
74,missed
75,missed
76,missed
77,made
78,made
79,made
80,made
81,made
82,missed
83,made
84,made
85,made
86,made
87,made
88,made
89,made
90,made
91,missed
92,made
93,made
94,made
95,made
96,made
97,missed
98,missed
99,made
100,missed
101,made
102,made
103,missed
104,made
105,missed
106,made
107,made
108,missed
109,missed
110,made
111,made
112,made
113,made
114,missed
115,missed
116,made
117,made
118,made
119,missed
120,missed
121,made
122,made
123,missed
124,made
125,missed
126,missed
127,made
128,missed
129,made
130,missed
131,missed
132,missed
133,made
134,missed
135,made
136,missed
137,made
138,made
139,made
140,made
141,made
142,missed
143,made
144,made
145,missed
146,made
147,missed
148,missed
149,missed
150,missed
151,missed
152,made
153,missed
154,made
155,missed
156,made
157,missed
158,missed
159,made
160,made
161,missed
162,made
163,missed
164,made
165,made
166,made
167,made
168,missed
169,missed
170,missed
171,made
172,missed
173,made
174,made
175,missed
176,made
177,made
178,missed
179,missed
180,made
181,missed
182,made
183,made
184,made
185,missed
186,missed
187,made
188,made
189,missed
190,missed
191,made
192,made
193,missed
194,missed
195,made
196,made
197,made
198,made
199,missed
200,made
201,made
202,made
203,made
204,missed
205,missed
206,made
207,made
208,missed
209,made
210,missed
211,missed
212,missed
213,made
214,made
215,missed
216,made
217,missed
218,missed
219,missed
220,missed
221,missed
222,missed
223,missed
224,made
225,made
226,made
227,missed
228,missed
229,missed
230,missed
231,made
232,missed
233,made
234,missed
235,made
236,made
237,missed
238,made
239,missed
240,missed
241,made
242,made
243,missed
244,missed
245,missed
246,made
247,missed
248,made
249,missed
250,made
251,made
252,made
253,made
254,missed
255,made
256,missed
257,missed
258,missed
259,made
260,made
261,made
262,made
263,made
264,missed
265,made
266,made
267,made
268,missed
269,made
270,made
271,missed
272,missed
273,made
274,missed
275,made
276,missed
277,missed
278,missed
279,missed
280,missed
281,missed
282,missed
283,made
284,missed
285,made
286,made
287,made
288,made
289,made
290,made
291,made
292,made
293,made
294,made
295,made
296,made
297,made
298,made
299,missed
300,missed
301,made
302,made
303,made
304,made
305,missed
306,made
307,made
308,made
309,made
310,made
311,made
312,missed
313,missed
314,missed
315,missed
316,made
317,made
318,made
319,missed
320,missed
321,missed
322,missed
323,made
324,made
325,missed
326,missed
327,made
328,made
329,missed
330,made
331,missed
332,made
333,made
334,missed
335,made
336,made
337,missed
338,made
339,made
340,missed
341,missed
342,made
343,missed
344,made
345,made
346,made
347,missed
348,made
349,missed
350,missed
351,made
352,made
353,missed
354,made
355,made
356,made
357,made
358,missed
359,made
360,missed
361,made
362,made
363,made
364,made
365,made
366,made
367,made
368,made
369,made
370,made
371,made
372,made
373,made
374,made
375,made
376,made
377,made
378,missed
379,missed
380,missed
381,made
382,missed
383,made
384,made
385,made
386,made
387,missed
388,made
389,made
390,made
391,made
392,made
393,made
394,missed
395,missed
396,missed
397,missed
398,missed
399,missed
400,made
401,made
402,missed
403,made
404,missed
405,missed
406,missed
407,missed
408,made
409,missed
410,made
411,missed
412,made
413,made
414,missed
415,missed
416,made
417,made
418,made
419,made
420,missed
421,missed
422,missed
423,missed
424,missed
425,missed
426,missed
427,missed
428,missed
429,missed
430,missed
431,missed
432,missed
433,made
434,missed
435,made
436,missed
437,made
438,made
439,made
440,made
441,missed
442,missed
443,missed
444,missed
445,missed
446,made
447,made
448,missed
449,made
450,missed
451,made
452,made
453,made
454,made
455,made
456,made
457,made
458,made
459,made
460,made
461,made
462,made
463,made
464,made
465,made
466,missed
467,missed
468,made
469,made
470,made
471,missed
472,made
473,made
474,made
475,missed
476,missed
477,missed
478,made
479,missed
480,made
481,made
482,made
483,made
484,missed
485,missed
486,made
487,made
488,missed
489,missed
490,made
491,made
492,missed
493,missed
494,missed
495,made
496,missed
497,made
498,made
499,made
500,made
501,missed
502,made
503,missed
504,made
505,made
506,made
507,made
508,missed
509,missed
510,missed
511,made
512,made
513,made
514,made
515,made
516,made
517,missed
518,made
519,made
520,made
521,made
522,made
523,missed
524,missed
525,missed
526,made
527,made
528,made
529,made
530,made
531,made
532,missed
533,made
534,made
535,made
536,missed
537,made
538,missed
539,missed
540,missed
541,made
542,made
543,made
544,missed
545,made
546,made
547,made
548,missed
549,missed
550,made
551,made
552,missed
553,made
554,made
555,made
556,made
557,made
558,missed
559,missed
560,made
561,made
562,made
563,missed
564,missed
565,made
566,missed
567,made
568,made
569,made
570,made
571,missed
572,missed
573,made
574,made
575,missed
576,missed
577,made
578,missed
579,missed
580,missed
581,made
582,missed
583,missed
584,made
585,missed
586,made
587,missed
588,missed
589,made
590,made
591,missed
592,made
593,missed
594,made
595,made
596,made
597,made
598,made
599,made
600,made
601,made
602,made
603,missed
604,missed
605,made
606,made
607,made
608,made
609,missed
610,made
611,made
612,made
613,missed
614,missed
615,made
616,missed
617,missed
618,missed
619,made
620,missed
621,missed
622,made
623,made
624,made
625,made
626,made
627,missed
628,missed
629,made
630,made
631,missed
632,missed
633,missed
634,made
635,missed
636,made
637,made
638,missed
639,made
640,made
641,missed
642,made
643,made
644,made
645,made
646,made
647,made
648,made
649,made
650,missed
651,missed
652,missed
653,made
654,missed
655,made
656,made
657,made
658,missed
659,made
660,made
661,made
662,made
663,made
664,made
665,made
666,made
667,missed
668,made
669,missed
670,made
671,made
672,missed
673,made
674,made
675,missed
676,made
677,missed
678,made
679,made
680,missed
681,made
682,made
683,made
684,missed
685,made
686,made
687,made
688,missed
689,made
690,missed
691,missed
692,made
693,made
694,missed
695,made
696,made
697,missed
698,made
699,missed
700,missed
701,missed
702,missed
703,missed
704,missed
705,missed
706,made
707,missed
708,missed
709,made
710,missed
711,made
712,made
713,made
714,made
715,missed
716,made
717,made
718,made
719,made
720,made
721,made
722,missed
723,made
724,made
725,missed
726,made
727,missed
728,made
729,made
730,missed
731,made
732,made
733,missed
734,made
735,missed
736,made
737,made
738,missed
739,made
740,made
741,missed
742,missed
743,made
744,missed
745,missed
746,missed
747,made
748,made
749,made
750,made
751,missed
752,made
753,missed
754,made
755,made
756,made
757,missed
758,missed
759,missed
760,made
761,missed
762,made
763,missed
764,made
765,missed
766,missed
767,made
768,made
769,made
770,missed
771,missed
772,made
773,made
774,made
775,made
776,missed
777,made
778,made
779,made
780,missed
781,made
782,made
783,made
784,made
785,missed
786,missed
787,missed
788,missed
789,missed
790,made
791,made
792,made
793,missed
794,missed
795,missed
796,missed
797,made
798,missed
799,made
800,made
801,made
802,made
803,missed
804,missed
805,missed
806,made
807,missed
808,made
809,missed
810,missed
811,missed
812,made
813,made
814,made
815,missed
816,made
817,made
818,made
819,missed
820,missed
821,missed
822,missed
823,made
824,made
825,made
826,missed
827,missed
828,missed
829,made
830,missed
831,missed
832,made
833,made
834,made
835,made
836,made
837,made
838,made
839,made
840,missed
841,missed
842,made
843,missed
844,made
845,missed
846,made
847,made
848,missed
849,made
850,missed
851,made
852,made
853,made
854,missed
855,made
856,made
857,made
858,missed
859,made
860,missed
861,missed
862,missed
863,missed
864,made
865,missed
866,made
867,missed
868,missed
869,missed
870,missed
871,missed
872,made
873,made
874,missed
875,made
876,missed
877,missed
878,missed
879,missed
880,made
881,missed
882,made
883,made
884,made
885,missed
886,made
887,missed
888,missed
889,made
890,missed
891,made
892,made
893,made
894,made
895,made
896,missed
897,made
898,made
899,made
900,made
901,made
902,made
903,missed
904,missed
905,missed
906,missed
907,made
908,missed
909,missed
910,missed
911,made
912,made
913,missed
914,missed
915,missed
916,made
917,made
918,made
919,missed
920,missed
921,made
922,made
923,made
924,made
925,made
926,made
927,missed
928,missed
929,made
930,made
931,made
932,missed
933,made
934,missed
935,missed
936,made
937,made
938,made
939,missed
940,missed
941,missed
942,made
943,missed
944,made
945,made
946,made
947,made
948,missed
949,made
950,made
951,made
952,missed
953,missed
954,made
955,made
956,missed
957,made
958,missed
959,made
960,missed
961,made
962,missed
963,made
964,missed
965,made
966,missed
967,made
968,made
969,made
970,missed
971,made
972,missed
973,made
974,made
975,missed
976,missed
977,missed
978,missed
979,made
980,made
981,made
982,missed
983,missed
984,made
985,made
986,made
987,missed
988,made
989,made
990,made
991,made
992,missed
993,missed
994,made
995,missed
996,made
997,made
998,missed
999,made
1000,made
1001,missed
1002,missed
1003,made
1004,missed
1005,made
1006,made
1007,missed
1008,made
1009,made
1010,missed
1011,made
1012,made
1013,made
1014,made
1015,made
1016,made
1017,missed
1018,made
1019,missed
1020,made
1021,missed
1022,made
1023,missed
1024,made
1025,missed
1026,missed
1027,missed
1028,made
1029,missed
1030,made
1031,made
1032,made
1033,missed
1034,made
1035,made
1036,made
1037,made
1038,made
1039,made
1040,made
1041,missed
1042,missed
1043,missed
1044,missed
1045,missed
1046,missed
1047,missed
1048,missed
1049,made
1050,made
1051,missed
1052,made
1053,made
1054,missed
1055,missed
1056,missed
1057,missed
1058,missed
1059,made
1060,made
1061,missed
1062,made
1063,made
1064,missed
1065,made
1066,made
1067,made
1068,missed
1069,missed
1070,made
1071,made
1072,made
1073,made
1074,missed
1075,missed
1076,made
1077,made
1078,made
1079,missed
1080,missed
1081,missed
1082,missed
1083,made
1084,missed
1085,missed
1086,missed
1087,made
1088,made
1089,made
1090,missed
1091,made
1092,made
1093,missed
1094,made
1095,made
1096,made
1097,missed
1098,made
1099,made
1100,missed
1101,missed
1102,made
1103,made
1104,missed
1105,missed
1106,missed
1107,made
1108,missed
1109,missed
1110,made
1111,made
1112,made
1113,made
1114,made
1115,made
1116,made
1117,missed
1118,made
1119,missed
1120,missed
1121,missed
1122,missed
1123,made
1124,made
1125,made
1126,made
1127,made
1128,made
1129,made
1130,made
1131,missed
1132,made
1133,made
1134,missed
1135,missed
1136,missed
1137,made
1138,missed
1139,made
1140,missed
1141,missed
1142,missed
1143,made
1144,made
1145,missed
1146,missed
1147,missed
1148,made
1149,made
1150,missed
1151,made
1152,missed
1153,made
1154,missed
1155,made
1156,made
1157,missed
1158,made
1159,made
1160,missed
1161,missed
1162,made
1163,missed
1164,missed
1165,missed
1166,made
1167,missed
1168,made
1169,made
1170,made
1171,missed
1172,made
1173,missed
1174,missed
1175,missed
1176,made
1177,missed
1178,made
1179,made
1180,missed
1181,missed
1182,missed
1183,missed
1184,missed
1185,made
1186,made
1187,made
1188,made
1189,made
1190,missed
1191,missed
1192,missed
1193,made
1194,made
1195,missed
1196,made
1197,missed
1198,made
1199,missed
1200,made
1201,made
1202,made
1203,missed
1204,made
1205,made
1206,made
1207,missed
1208,made
1209,made
1210,made
1211,missed
1212,made
1213,missed
1214,made
1215,made
1216,missed
1217,missed
1218,made
1219,made
1220,missed
1221,made
1222,made
1223,made
1224,missed
1225,made
1226,made
1227,made
1228,made
1229,made
1230,missed
1231,made
1232,missed
1233,made
1234,missed
1235,made
1236,made
