Id,Target
1,made
2,made
3,missed
4,made
5,made
6,made
7,missed
8,made
9,made
10,made
11,made
12,made
13,made
14,made
15,made
16,missed
17,missed
18,made
19,missed
20,made
21,missed
22,made
23,missed
24,made
25,made
26,made
27,made
28,made
29,made
30,made
31,missed
32,made
33,missed
34,made
35,missed
36,made
37,missed
38,missed
39,made
40,missed
41,made
42,made
43,made
44,made
45,made
46,made
47,made
48,made
49,made
50,missed
51,made
52,made
53,missed
54,missed
55,made
56,made
57,made
58,missed
59,made
60,missed
61,made
62,made
63,missed
64,made
65,made
66,missed
67,made
68,made
69,made
70,made
71,made
72,made
73,made
74,missed
75,missed
76,made
77,missed
78,made
79,missed
80,missed
81,made
82,missed
83,made
84,missed
85,made
86,missed
87,missed
88,made
89,made
90,missed
91,missed
92,made
93,made
94,made
95,made
96,made
97,missed
98,missed
99,made
100,missed
101,missed
102,made
103,made
104,made
105,missed
106,made
107,made
108,made
109,made
110,made
111,made
112,missed
113,made
114,missed
115,missed
116,missed
117,made
118,made
119,missed
120,made
121,missed
122,made
123,made
124,made
125,missed
126,made
127,made
128,made
129,made
130,made
131,made
132,made
133,made
134,missed
135,missed
136,missed
137,missed
138,missed
139,made
140,made
141,missed
142,missed
143,made
144,made
145,made
146,made
147,missed
148,made
149,made
150,missed
151,made
152,made
153,made
154,made
155,made
156,made
157,made
158,made
159,made
160,made
161,made
162,made
163,made
164,made
165,made
166,missed
167,made
168,missed
169,made
170,missed
171,made
172,missed
173,made
174,missed
175,made
176,made
177,missed
178,made
179,missed
180,made
181,missed
182,missed
183,made
184,made
185,made
186,made
187,made
188,made
189,missed
190,made
191,missed
192,made
193,made
194,missed
195,made
196,made
197,missed
198,missed
199,made
200,made
201,made
202,missed
203,made
204,missed
205,missed
206,missed
207,made
208,missed
209,made
210,made
211,missed
212,missed
213,made
214,made
215,missed
216,made
217,made
218,missed
219,made
220,made
221,missed
222,missed
223,missed
224,made
225,made
226,missed
227,missed
228,made
229,made
230,made
231,made
232,made
233,made
234,made
235,made
236,made
237,made
238,made
239,missed
240,missed
241,made
242,made
243,missed
244,made
245,missed
246,made
247,missed
248,made
249,made
250,made
251,made
252,made
253,missed
254,made
255,made
256,made
257,made
258,missed
259,missed
260,made
261,missed
262,made
263,made
264,missed
265,made
266,made
267,made
268,made
269,made
270,made
271,missed
272,missed
273,made
274,made
275,made
276,made
277,missed
278,missed
279,made
280,made
281,made
282,missed
283,missed
284,missed
285,made
286,missed
287,missed
288,made
289,missed
290,made
291,missed
292,missed
293,missed
294,missed
295,made
296,made
297,missed
298,missed
299,made
300,missed
301,made
302,made
303,made
304,made
305,missed
306,made
307,made
308,missed
309,made
310,made
311,made
312,missed
313,missed
314,missed
315,made
316,made
317,made
318,made
319,made
320,made
321,missed
322,missed
323,missed
324,missed
325,made
326,made
327,made
328,made
329,made
330,made
331,made
332,made
333,made
334,made
335,made
336,made
337,missed
338,made
339,made
340,made
341,missed
342,made
343,made
344,made
345,made
346,made
347,missed
348,made
349,missed
350,missed
351,missed
352,made
353,made
354,missed
355,made
356,missed
357,made
358,made
359,made
360,made
361,made
362,missed
363,made
364,made
365,missed
366,missed
367,made
368,made
369,made
370,made
371,missed
372,made
373,made
374,made
375,made
376,made
377,missed
378,missed
379,missed
380,made
381,made
382,made
383,missed
384,made
385,made
386,missed
387,made
388,made
389,made
390,made
391,made
392,made
393,missed
394,missed
395,missed
396,made
397,made
398,missed
399,made
400,missed
401,made
402,missed
403,made
404,missed
405,missed
406,made
407,missed
408,missed
409,missed
410,made
411,made
412,missed
413,made
414,missed
415,missed
416,made
417,made
418,made
419,missed
420,missed
421,made
422,made
423,missed
424,made
425,missed
426,missed
427,made
428,made
429,made
430,made
431,missed
432,missed
433,made
434,made
435,made
436,missed
437,missed
438,made
439,made
440,made
441,made
442,missed
443,made
444,made
445,missed
446,made
447,made
448,missed
449,made
450,missed
451,made
452,made
453,made
454,made
455,missed
456,made
457,missed
458,made
459,made
460,made
461,made
462,made
463,missed
464,missed
465,made
466,made
467,missed
468,made
469,made
470,missed
471,made
472,made
473,made
474,made
475,made
476,missed
477,missed
478,made
479,missed
480,missed
481,made
482,made
483,missed
484,missed
485,missed
486,made
487,made
488,missed
489,made
490,missed
491,missed
492,made
493,missed
494,missed
495,made
496,made
497,made
498,made
499,made
500,made
501,made
502,missed
503,missed
504,made
505,made
506,made
507,missed
508,made
509,missed
510,made
511,made
512,missed
513,made
514,made
515,made
516,made
517,missed
518,made
519,missed
520,missed
521,made
522,missed
523,made
524,missed
525,missed
526,missed
527,made
528,made
529,missed
530,made
531,made
532,made
533,made
534,made
535,made
536,made
537,made
538,missed
539,missed
540,missed
541,made
542,missed
543,made
544,missed
545,made
546,made
547,made
548,made
549,made
550,made
551,missed
552,missed
553,missed
554,missed
555,made
556,made
557,missed
558,missed
559,missed
560,missed
561,made
562,missed
563,made
564,made
565,made
566,missed
567,missed
568,missed
569,made
570,made
571,made
572,missed
573,made
574,missed
575,missed
576,missed
577,made
578,missed
579,made
580,made
581,made
582,made
583,made
584,made
585,missed
586,missed
587,made
588,made
589,missed
590,made
591,missed
592,made
593,made
594,made
595,made
596,made
597,missed
598,missed
599,missed
600,missed
601,made
602,missed
603,made
604,made
605,made
606,made
607,missed
608,made
609,made
610,missed
611,made
612,made
613,made
614,made
615,made
616,missed
617,missed
618,made
619,made
620,missed
621,missed
622,made
623,made
624,missed
625,missed
626,missed
627,missed
628,missed
629,missed
630,missed
631,missed
632,made
633,made
634,made
635,made
636,missed
637,made
638,made
639,made
640,made
641,missed
642,made
643,made
644,made
645,missed
646,made
647,made
648,made
649,made
650,missed
651,missed
652,missed
653,missed
654,made
655,made
656,made
657,made
658,missed
659,made
660,made
661,made
662,missed
663,made
664,missed
665,missed
666,made
667,missed
668,made
669,missed
670,made
671,made
672,made
673,made
674,missed
675,made
676,missed
677,made
678,made
679,missed
680,missed
681,missed
682,made
683,made
684,missed
685,made
686,made
687,made
688,missed
689,missed
690,made
691,made
692,made
693,made
694,missed
695,made
696,made
697,made
698,made
699,missed
700,made
701,missed
702,missed
703,made
704,missed
705,missed
706,made
707,missed
708,made
709,missed
710,missed
711,made
712,missed
713,missed
714,made
715,missed
716,made
717,made
718,missed
719,made
720,made
721,missed
722,missed
723,made
724,made
725,missed
726,made
727,missed
728,missed
729,missed
730,made
731,made
732,made
733,missed
734,made
735,missed
736,made
737,made
738,missed
739,missed
740,made
741,missed
742,made
743,made
744,missed
745,missed
746,made
747,missed
748,made
749,made
750,made
751,missed
752,made
753,missed
754,made
755,missed
756,made
757,missed
758,missed
759,missed
760,made
761,missed
762,made
763,missed
764,missed
765,made
766,made
767,made
768,made
769,made
770,made
771,missed
772,made
773,missed
774,made
775,made
776,missed
777,made
778,missed
779,made
780,missed
781,missed
782,made
783,made
784,missed
785,missed
786,made
787,missed
788,made
789,made
790,missed
791,missed
792,made
793,made
794,made
795,missed
796,missed
797,made
798,missed
799,made
800,made
801,made
802,missed
803,made
804,missed
805,missed
806,made
807,made
808,made
809,missed
810,made
811,missed
812,made
813,missed
814,made
815,made
816,missed
817,missed
818,missed
819,made
820,made
821,made
822,missed
823,made
824,missed
825,made
826,missed
827,made
828,missed
829,made
830,made
831,made
832,made
833,missed
834,made
835,missed
836,made
837,made
838,made
839,made
840,missed
841,made
842,made
843,made
844,made
845,missed
846,missed
847,missed
848,missed
849,missed
850,missed
851,made
852,made
853,missed
854,missed
855,missed
856,made
857,made
858,missed
859,made
860,made
861,missed
862,missed
863,made
864,made
865,missed
866,missed
867,made
868,missed
869,missed
870,missed
871,made
872,missed
873,missed
874,made
875,made
876,missed
877,missed
878,missed
879,missed
880,made
881,missed
882,made
883,made
884,missed
885,made
886,missed
887,made
888,made
889,made
890,missed
891,made
892,made
893,made
894,made
895,made
896,made
897,made
898,missed
899,made
900,missed
901,made
902,made
903,missed
904,missed
905,missed
906,missed
907,missed
908,missed
909,missed
910,missed
911,made
912,made
913,missed
914,missed
915,made
916,made
917,made
918,made
919,made
920,made
921,missed
922,made
923,made
924,made
925,made
926,made
927,made
928,missed
929,made
930,made
931,made
932,missed
933,missed
934,missed
935,missed
936,made
937,made
938,made
939,made
940,missed
941,made
942,made
943,missed
944,made
945,missed
946,made
947,made
948,missed
949,made
950,made
951,missed
952,missed
953,missed
954,made
955,made
956,missed
957,missed
958,missed
959,missed
960,made
961,made
962,missed
963,made
964,missed
965,missed
966,missed
967,made
968,made
969,made
970,missed
971,made
972,missed
973,made
974,made
975,missed
976,made
977,missed
978,made
979,made
980,made
981,made
982,made
983,missed
984,made
985,missed
986,made
987,made
988,made
989,made
990,made
991,made
992,made
993,missed
994,made
995,made
996,made
997,made
998,made
999,missed
1000,missed
1001,missed
1002,missed
1003,made
1004,missed
1005,made
1006,made
1007,made
1008,missed
1009,missed
1010,missed
1011,missed
1012,missed
1013,made
1014,made
1015,made
1016,made
1017,missed
1018,made
1019,missed
1020,missed
1021,made
1022,missed
1023,missed
1024,missed
1025,made
1026,missed
1027,made
1028,made
1029,made
1030,made
1031,made
1032,made
1033,missed
1034,made
1035,made
1036,missed
1037,missed
1038,missed
1039,made
1040,missed
1041,made
1042,missed
1043,made
1044,missed
1045,made
1046,made
1047,made
1048,missed
1049,missed
1050,missed
1051,made
1052,made
1053,missed
1054,missed
1055,missed
1056,made
1057,made
1058,made
1059,missed
1060,made
1061,made
1062,missed
1063,made
1064,missed
1065,missed
1066,missed
1067,made
1068,made
1069,made
1070,made
1071,made
1072,made
1073,made
1074,made
1075,missed
1076,made
1077,missed
1078,missed
1079,made
1080,missed
1081,missed
1082,made
1083,made
1084,missed
1085,made
1086,missed
1087,made
1088,made
1089,missed
1090,missed
1091,made
1092,made
1093,made
1094,made
1095,made
1096,made
1097,made
1098,made
1099,made
1100,missed
1101,missed
1102,missed
1103,missed
1104,missed
1105,made
1106,missed
1107,missed
1108,missed
1109,missed
1110,missed
1111,made
1112,made
1113,made
1114,missed
1115,made
1116,made
1117,missed
1118,made
1119,missed
1120,missed
1121,missed
1122,missed
1123,made
1124,made
1125,made
1126,missed
1127,made
1128,made
1129,made
1130,made
1131,missed
1132,missed
1133,made
1134,missed
1135,missed
1136,made
1137,made
1138,missed
1139,missed
1140,missed
1141,missed
1142,missed
1143,made
1144,made
1145,made
1146,missed
1147,missed
1148,missed
1149,made
1150,missed
1151,made
1152,missed
1153,made
1154,missed
1155,made
1156,missed
1157,made
1158,missed
1159,missed
1160,missed
1161,missed
1162,missed
1163,made
1164,made
1165,missed
1166,made
1167,missed
1168,made
1169,made
1170,made
1171,missed
1172,missed
1173,made
1174,missed
1175,missed
1176,made
1177,missed
1178,missed
1179,made
1180,missed
1181,missed
1182,made
1183,made
1184,missed
1185,made
1186,made
1187,made
1188,missed
1189,made
1190,made
1191,made
1192,missed
1193,made
1194,made
1195,made
1196,made
1197,missed
1198,made
1199,made
1200,made
1201,made
1202,missed
1203,missed
1204,missed
1205,made
1206,made
1207,missed
1208,made
1209,missed
1210,missed
1211,made
1212,missed
1213,missed
1214,made
1215,made
1216,missed
1217,missed
1218,made
1219,missed
1220,made
1221,made
1222,made
1223,missed
1224,made
1225,made
1226,made
1227,made
1228,made
1229,missed
1230,made
1231,missed
1232,made
1233,made
1234,made
1235,made
1236,made
1237,missed
1238,missed
1239,made
