Id,Target
1,made
2,made
3,missed
4,missed
5,made
6,made
7,missed
8,made
9,made
10,made
11,made
12,made
13,made
14,made
15,made
16,missed
17,missed
18,missed
19,made
20,made
21,made
22,made
23,made
24,made
25,missed
26,made
27,made
28,made
29,made
30,made
31,made
32,missed
33,missed
34,made
35,missed
36,made
37,made
38,made
39,made
40,made
41,missed
42,made
43,made
44,made
45,made
46,made
47,made
48,made
49,made
50,missed
51,made
52,made
53,made
54,made
55,missed
56,made
57,made
58,made
59,made
60,missed
61,made
62,missed
63,missed
64,made
65,missed
66,made
67,made
68,missed
69,missed
70,made
71,made
72,made
73,made
74,made
75,missed
76,missed
77,missed
78,missed
79,made
80,made
81,missed
82,made
83,missed
84,missed
85,made
86,made
87,missed
88,missed
89,made
90,missed
91,missed
92,made
93,made
94,missed
95,missed
96,made
97,missed
98,missed
99,made
100,missed
101,missed
102,missed
103,made
104,made
105,missed
106,made
107,made
108,missed
109,missed
110,made
111,made
112,missed
113,made
114,made
115,missed
116,made
117,missed
118,made
119,missed
120,made
121,made
122,made
123,missed
124,made
125,made
126,made
127,made
128,made
129,missed
130,made
131,missed
132,made
133,made
134,made
135,made
136,missed
137,made
138,made
139,made
140,made
141,missed
142,missed
143,made
144,made
145,missed
146,made
147,made
148,made
149,missed
150,missed
151,missed
152,made
153,made
154,missed
155,missed
156,missed
157,missed
158,made
159,missed
160,made
161,made
162,made
163,missed
164,made
165,made
166,made
167,made
168,missed
169,made
170,missed
171,made
172,missed
173,made
174,missed
175,made
176,made
177,missed
178,made
179,missed
180,made
181,made
182,made
183,made
184,made
185,missed
186,missed
187,made
188,made
189,made
190,missed
191,made
192,made
193,missed
194,missed
195,made
196,missed
197,missed
198,missed
199,missed
200,made
201,made
202,missed
203,made
204,missed
205,made
206,made
207,made
208,missed
209,made
210,made
211,missed
212,missed
213,missed
214,made
215,made
216,made
217,made
218,missed
219,made
220,missed
221,made
222,missed
223,missed
224,made
225,made
226,made
227,made
228,made
229,missed
230,missed
231,made
232,made
233,made
234,made
235,made
236,made
237,missed
238,made
239,missed
240,made
241,made
242,made
243,made
244,made
245,made
246,missed
247,made
248,made
249,missed
250,missed
251,missed
252,made
253,made
254,made
255,made
256,made
257,missed
258,missed
259,missed
260,made
261,made
262,made
263,made
264,missed
265,missed
266,made
267,made
268,made
269,missed
270,missed
271,made
272,made
273,made
274,made
275,missed
276,made
277,missed
278,missed
279,made
280,made
281,made
282,made
283,made
284,missed
285,made
286,made
287,made
288,made
289,made
290,made
291,made
292,missed
293,made
294,made
295,made
296,made
297,made
298,missed
299,made
300,missed
301,missed
302,made
303,made
304,made
305,missed
306,made
307,made
308,missed
309,made
310,missed
311,made
312,made
313,made
314,missed
315,made
316,made
317,made
318,made
319,made
320,missed
321,missed
322,missed
323,made
324,made
325,made
326,missed
327,made
328,made
329,made
330,made
331,missed
332,missed
333,made
334,missed
335,made
336,made
337,missed
338,made
339,made
340,missed
341,missed
342,missed
343,missed
344,made
345,made
346,made
347,missed
348,made
349,missed
350,made
351,missed
352,missed
353,made
354,made
355,missed
356,made
357,made
358,made
359,made
360,missed
361,missed
362,missed
363,made
364,made
365,missed
366,missed
367,missed
368,made
369,missed
370,missed
371,made
372,made
373,made
374,missed
375,made
376,missed
377,made
378,missed
379,missed
380,missed
381,made
382,made
383,missed
384,made
385,made
386,missed
387,made
388,made
389,made
390,made
391,made
392,made
393,made
394,missed
395,missed
396,missed
397,made
398,missed
399,missed
400,missed
401,made
402,missed
403,made
404,missed
405,made
406,made
407,made
408,missed
409,missed
410,made
411,made
412,missed
413,missed
414,made
415,missed
416,made
417,made
418,made
419,made
420,missed
421,missed
422,missed
423,missed
424,made
425,missed
426,missed
427,made
428,made
429,made
430,missed
431,missed
432,missed
433,missed
434,made
435,made
436,made
437,missed
438,made
439,missed
440,made
441,made
442,missed
443,missed
444,made
445,missed
446,made
447,made
448,missed
449,missed
450,missed
451,made
452,made
453,made
454,made
455,missed
456,made
457,missed
458,made
459,made
460,missed
461,missed
462,missed
463,missed
464,made
465,made
466,made
467,missed
468,made
469,made
470,missed
471,made
472,made
473,missed
474,made
475,missed
476,missed
477,missed
478,missed
479,missed
480,missed
481,missed
482,made
483,made
484,made
485,made
486,missed
487,made
488,missed
489,missed
490,missed
491,made
492,made
493,made
494,missed
495,made
496,missed
497,made
498,made
499,made
500,missed
501,missed
502,missed
503,missed
504,missed
505,made
506,missed
507,missed
508,missed
509,missed
510,made
511,made
512,made
513,made
514,missed
515,made
516,made
517,missed
518,made
519,missed
520,missed
521,made
522,made
523,made
524,missed
525,missed
526,missed
527,made
528,made
529,made
530,made
531,missed
532,made
533,made
534,made
535,made
536,missed
537,made
538,missed
539,missed
540,missed
541,made
542,made
543,missed
544,made
545,made
546,made
547,made
548,missed
549,made
550,made
551,made
552,missed
553,missed
554,made
555,made
556,made
557,made
558,made
559,missed
560,missed
561,made
562,made
563,made
564,missed
565,made
566,missed
567,missed
568,made
569,made
570,made
571,missed
572,made
573,made
574,made
575,made
576,missed
577,made
578,missed
579,made
580,missed
581,made
582,missed
583,made
584,made
585,missed
586,missed
587,made
588,made
589,made
590,missed
591,missed
592,made
593,missed
594,made
595,made
596,missed
597,missed
598,made
599,missed
600,missed
601,made
602,made
603,made
604,missed
605,made
606,missed
607,made
608,missed
609,missed
610,made
611,made
612,made
613,made
614,made
615,made
616,missed
617,missed
618,made
619,made
620,made
621,missed
622,made
623,made
624,missed
625,missed
626,made
627,missed
628,missed
629,made
630,made
631,made
632,made
633,missed
634,missed
635,made
636,missed
637,made
638,made
639,made
640,made
641,made
642,made
643,made
644,made
645,missed
646,made
647,made
648,made
649,made
650,missed
651,missed
652,missed
653,made
654,made
655,missed
656,made
657,missed
658,made
659,missed
660,made
661,made
662,made
663,made
664,missed
665,missed
666,made
667,missed
668,missed
669,missed
670,made
671,made
672,missed
673,made
674,missed
675,missed
676,missed
677,missed
678,made
679,made
680,missed
681,missed
682,made
683,missed
684,missed
685,made
686,made
687,made
688,missed
689,missed
690,made
691,missed
692,made
693,made
694,missed
695,made
696,made
697,missed
698,made
699,missed
700,missed
701,missed
702,made
703,made
704,missed
705,made
706,made
707,missed
708,made
709,made
710,missed
711,made
712,made
713,made
714,made
715,made
716,made
717,made
718,made
719,made
720,made
721,made
722,missed
723,made
724,made
725,made
726,made
727,missed
728,made
729,missed
730,missed
731,made
732,missed
733,made
734,made
735,made
736,missed
737,made
738,made
739,made
740,missed
741,missed
742,made
743,made
744,missed
745,missed
746,missed
747,made
748,missed
749,missed
750,made
751,made
752,missed
753,missed
754,missed
755,made
756,made
757,missed
758,missed
759,missed
760,made
761,missed
762,made
763,made
764,made
765,made
766,missed
767,made
768,made
769,missed
770,made
771,missed
772,made
773,missed
774,missed
775,missed
776,missed
777,made
778,missed
779,made
780,missed
781,missed
782,made
783,missed
784,made
785,missed
786,made
787,missed
788,missed
789,made
790,made
791,missed
792,made
793,made
794,missed
795,missed
796,missed
797,made
798,made
799,made
800,missed
801,made
802,made
803,made
804,missed
805,missed
806,made
807,missed
808,made
809,missed
810,made
811,missed
812,made
813,missed
814,made
815,made
816,made
817,made
818,made
819,made
820,missed
821,missed
822,made
823,made
824,made
825,made
826,made
827,made
828,made
829,made
830,missed
831,missed
832,missed
833,made
834,made
835,made
836,made
837,made
838,made
839,made
840,made
841,made
842,made
843,made
844,made
845,missed
846,made
847,made
848,missed
849,missed
850,made
851,made
852,made
853,made
854,made
855,missed
856,made
857,made
858,missed
859,made
860,made
861,missed
862,missed
863,missed
864,missed
865,made
866,made
867,made
868,missed
869,made
870,missed
871,made
872,missed
873,made
874,made
875,made
876,missed
877,missed
878,missed
879,missed
880,missed
881,missed
882,missed
883,missed
884,made
885,made
886,made
887,missed
888,missed
889,missed
890,missed
891,made
892,missed
893,made
894,made
895,missed
896,made
897,made
898,made
899,made
900,made
901,made
902,missed
903,missed
904,missed
905,missed
906,made
907,missed
908,made
909,made
910,made
911,made
912,made
913,missed
914,missed
915,missed
916,made
917,made
918,made
919,made
920,made
921,made
922,made
923,made
924,made
925,made
926,made
927,made
928,made
929,made
930,missed
931,made
932,missed
933,missed
934,missed
935,missed
936,missed
937,made
938,missed
939,missed
940,missed
941,made
942,missed
943,missed
944,made
945,missed
946,made
947,made
948,made
949,made
950,missed
951,missed
952,made
953,missed
954,made
955,missed
956,missed
957,missed
958,missed
959,missed
960,missed
961,made
962,missed
963,made
964,made
965,missed
966,missed
967,made
968,made
969,made
970,missed
971,made
972,missed
973,made
974,missed
975,missed
976,made
977,missed
978,missed
979,made
980,missed
981,made
982,made
983,missed
984,made
985,made
986,made
987,missed
988,made
989,made
990,made
991,made
992,made
993,made
994,made
995,made
996,made
997,made
998,made
999,missed
1000,missed
1001,missed
1002,missed
1003,missed
1004,made
1005,made
1006,made
1007,missed
1008,made
1009,missed
1010,missed
1011,made
1012,missed
1013,made
1014,made
1015,made
1016,made
1017,made
1018,made
1019,missed
1020,missed
1021,missed
1022,made
1023,missed
1024,made
1025,made
1026,made
1027,missed
1028,made
1029,missed
1030,missed
1031,made
1032,made
1033,made
1034,missed
1035,made
1036,made
1037,made
1038,missed
1039,missed
1040,missed
1041,missed
1042,made
1043,made
1044,missed
1045,missed
1046,made
1047,missed
1048,missed
1049,missed
1050,made
1051,made
1052,made
1053,made
1054,missed
1055,missed
1056,missed
1057,made
1058,made
1059,made
1060,made
1061,missed
1062,made
1063,made
1064,missed
1065,made
1066,missed
1067,made
1068,missed
1069,missed
1070,made
1071,made
1072,made
1073,made
1074,missed
1075,missed
1076,missed
1077,missed
1078,made
1079,missed
1080,missed
1081,missed
1082,missed
1083,missed
1084,made
1085,missed
1086,missed
1087,missed
1088,made
1089,missed
1090,missed
1091,made
1092,made
1093,missed
1094,made
1095,made
1096,made
1097,missed
1098,made
1099,made
1100,missed
1101,missed
1102,missed
1103,missed
1104,missed
1105,missed
1106,missed
1107,missed
1108,made
1109,missed
1110,missed
1111,missed
1112,made
1113,made
1114,missed
1115,made
1116,made
1117,missed
1118,made
1119,made
1120,missed
1121,missed
1122,missed
1123,made
1124,made
1125,made
1126,made
1127,made
1128,made
1129,made
1130,made
1131,missed
1132,made
1133,made
1134,made
1135,missed
1136,made
1137,missed
1138,missed
1139,made
1140,made
1141,missed
1142,missed
1143,made
1144,made
1145,made
1146,made
1147,made
1148,made
1149,made
1150,missed
1151,made
1152,missed
1153,missed
1154,missed
1155,made
1156,made
1157,made
1158,made
1159,made
1160,made
1161,made
1162,missed
1163,missed
1164,made
1165,missed
1166,made
1167,missed
1168,made
1169,made
1170,made
1171,missed
1172,made
1173,made
1174,made
1175,made
1176,made
1177,made
1178,made
1179,made
1180,made
1181,made
1182,made
1183,made
1184,missed
1185,made
1186,made
1187,made
1188,missed
1189,made
1190,missed
1191,missed
1192,made
1193,missed
1194,made
1195,missed
1196,made
1197,missed
1198,made
1199,missed
1200,missed
1201,made
1202,missed
1203,missed
1204,made
1205,made
1206,made
1207,missed
1208,missed
1209,made
1210,missed
1211,missed
1212,made
1213,made
1214,made
1215,made
1216,missed
1217,missed
1218,made
1219,made
1220,missed
1221,missed
1222,missed
1223,missed
1224,made
1225,made
1226,made
1227,made
1228,missed
1229,missed
1230,missed
1231,made
1232,missed
1233,made
1234,made
1235,missed
1236,missed
1237,missed
